ProductId	Name	Description	ProductTypeId	Active	Visible	Removable	ShortName	Sku	IsDefault	InvalidProductId	InvalidSku	ReplacementProductId	ReplacementSku	ProdType	CanOnlyHaveOneProductPerType	MaxQuantityPerProduct
JitterbugPlusRed	Jitterbug Plus Red	Jitterbug Plus Red	1	TRUE	TRUE	TRUE	Jitterbug Plus Red	GC001A-W-RUBY	TRUE	100Data	GC308A-02	NULL	NULL	Device	TRUE	NULL
JitterbugPlusRed	Jitterbug Plus Red	Jitterbug Plus Red	1	TRUE	TRUE	TRUE	Jitterbug Plus Red	GC001A-W-RUBY	TRUE	10CentText	GC320A-02	10CentText	SIMTXT10CENTS2	Device	TRUE	NULL
JitterbugPlusRed	Jitterbug Plus Red	Jitterbug Plus Red	1	TRUE	TRUE	TRUE	Jitterbug Plus Red	GC001A-W-RUBY	TRUE	10Data	GC311A-02	NULL	NULL	Device	TRUE	NULL
JitterbugPlusRed	Jitterbug Plus Red	Jitterbug Plus Red	1	TRUE	TRUE	TRUE	Jitterbug Plus Red	GC001A-W-RUBY	TRUE	1250Text	GC315A-02	1250Text	GC303A-02	Device	TRUE	NULL
JitterbugPlusRed	Jitterbug Plus Red	Jitterbug Plus Red	1	TRUE	TRUE	TRUE	Jitterbug Plus Red	GC001A-W-RUBY	TRUE	2500Text	GC316A-02	2500Text	GC305A-02	Device	TRUE	NULL
JitterbugPlusRed	Jitterbug Plus Red	Jitterbug Plus Red	1	TRUE	TRUE	TRUE	Jitterbug Plus Red	GC001A-W-RUBY	TRUE	250Data	GC309A-02	NULL	NULL	Device	TRUE	NULL
JitterbugPlusRed	Jitterbug Plus Red	Jitterbug Plus Red	1	TRUE	TRUE	TRUE	Jitterbug Plus Red	GC001A-W-RUBY	TRUE	300Text	GC313A-02	300Text	GC304A-02	Device	TRUE	NULL
JitterbugPlusRed	Jitterbug Plus Red	Jitterbug Plus Red	1	TRUE	TRUE	TRUE	Jitterbug Plus Red	GC001A-W-RUBY	TRUE	500Data	GC310A-02	NULL	NULL	Device	TRUE	NULL
JitterbugPlusRed	Jitterbug Plus Red	Jitterbug Plus Red	1	TRUE	TRUE	TRUE	Jitterbug Plus Red	GC001A-W-RUBY	TRUE	50Data	GC307A-02	NULL	NULL	Device	TRUE	NULL
JitterbugPlusRed	Jitterbug Plus Red	Jitterbug Plus Red	1	TRUE	TRUE	TRUE	Jitterbug Plus Red	GC001A-W-RUBY	TRUE	700Text	GC314A-02	700Text	GC302A-02	Device	TRUE	NULL
JitterbugPlusRed	Jitterbug Plus Red	Jitterbug Plus Red	1	TRUE	TRUE	TRUE	Jitterbug Plus Red	GC001A-W-RUBY	TRUE	HandsetReplacement	GC317A-02	HandsetReplacement	JHRO	Device	TRUE	NULL
JitterbugPlusRed	Jitterbug Plus Red	Jitterbug Plus Red	1	TRUE	TRUE	TRUE	Jitterbug Plus Red	GC001A-W-RUBY	TRUE	R100Case	R100-HORIZ-CASE-00	NULL	NULL	Device	TRUE	NULL
JitterbugPlusRed	Jitterbug Plus Red	Jitterbug Plus Red	1	TRUE	TRUE	TRUE	Jitterbug Plus Red	GC001A-W-RUBY	TRUE	UnlimitedText	GC318A-02	UnlimitedText	SIMTXTFREE2	Device	TRUE	NULL
JitterbugPlusRed	Jitterbug Plus Red	Jitterbug Plus Red	1	TRUE	TRUE	TRUE	Jitterbug Plus Red	GC001A-W-RUBY	TRUE	VoiceMail	GC312A-02	VoiceMail	GC306A-02	Device	TRUE	NULL
JitterbugPlusRed	Jitterbug Plus Red	Jitterbug Plus Red	1	TRUE	TRUE	TRUE	Jitterbug Plus Red	GC001A-W-RUBY	TRUE	VoiceMail	VM12	VoiceMail	VMM2	Device	TRUE	NULL
JitterbugPlusRed	Jitterbug Plus Red	Jitterbug Plus Red	1	TRUE	TRUE	TRUE	Jitterbug Plus Red	GC001A-W-RUBY	TRUE	VoiceMail	VMMR1002	VoiceMail	VMM2	Device	TRUE	NULL
JitterbugPlusRed	Jitterbug Plus Red	Jitterbug Plus Red	1	TRUE	TRUE	TRUE	Jitterbug Plus Red	GC001A-W-RUBY	TRUE	VoiceMail	VMSR1002	VoiceMail	VMS2	Device	TRUE	NULL
JitterbugPlusSilver	Jitterbug Plus Silver	Jitterbug Plus Silver	1	TRUE	TRUE	TRUE	Jitterbug Plus Silver	GC001A-W-PLTNM	TRUE	100Data	GC308A-02	NULL	NULL	Device	TRUE	NULL
JitterbugPlusSilver	Jitterbug Plus Silver	Jitterbug Plus Silver	1	TRUE	TRUE	TRUE	Jitterbug Plus Silver	GC001A-W-PLTNM	TRUE	10CentText	GC320A-02	10CentText	SIMTXT10CENTS2	Device	TRUE	NULL
JitterbugPlusSilver	Jitterbug Plus Silver	Jitterbug Plus Silver	1	TRUE	TRUE	TRUE	Jitterbug Plus Silver	GC001A-W-PLTNM	TRUE	10Data	GC311A-02	NULL	NULL	Device	TRUE	NULL
JitterbugPlusSilver	Jitterbug Plus Silver	Jitterbug Plus Silver	1	TRUE	TRUE	TRUE	Jitterbug Plus Silver	GC001A-W-PLTNM	TRUE	1250Text	GC315A-02	1250Text	GC303A-02	Device	TRUE	NULL
JitterbugPlusSilver	Jitterbug Plus Silver	Jitterbug Plus Silver	1	TRUE	TRUE	TRUE	Jitterbug Plus Silver	GC001A-W-PLTNM	TRUE	2500Text	GC316A-02	2500Text	GC305A-02	Device	TRUE	NULL
